T (K),Cp (J/mol*K),H (kJ/mol),S (J/mol*K),G (kJ/mol),
1,21.94091415,-5858.182334,-9.224406649,-5848.957927,Landolt 99; Barin 93; Arblaster 14
2,4.647506742,-5847.782432,-1.360404753,-5845.061623,Landolt 99; Barin 93; Arblaster 14
3,1.510085014,-5845.02598,-0.200602056,-5844.424174,Landolt 99; Barin 93; Arblaster 14
4,0.472563116,-5844.115878,0.068300713,-5844.389081,Landolt 99; Barin 93; Arblaster 14
5,0.04963127,-5843.884564,0.121660113,-5844.492864,Landolt 99; Barin 93; Arblaster 14
6,-0.125215531,-5843.936064,0.112752177,-5844.612577,Landolt 99; Barin 93; Arblaster 14
7,-0.177557416,-5844.09486,0.088376606,-5844.713496,Landolt 99; Barin 93; Arblaster 14
8,-0.15985066,-5844.268103,0.065216717,-5844.789836,Landolt 99; Barin 93; Arblaster 14
9,-0.097155154,-5844.399686,0.04964585,-5844.846499,Landolt 99; Barin 93; Arblaster 14
10,-0.002669715,-5844.451876,0.044059725,-5844.892473,Landolt 99; Barin 93; Arblaster 14
11,0.116117378,-5844.396957,0.049204166,-5844.938202,Landolt 99; Barin 93; Arblaster 14
12,0.254701052,-5844.21306,0.065117858,-5844.994474,Landolt 99; Barin 93; Arblaster 14
13,0.410239116,-5843.881914,0.091540678,-5845.071942,Landolt 99; Barin 93; Arblaster 14
14,0.580866609,-5843.387558,0.128098268,-5845.180934,Landolt 99; Barin 93; Arblaster 14
15,0.765318667,-5842.715576,0.174387082,-5845.331383,Landolt 99; Barin 93; Arblaster 14
16,0.962712886,-5841.85261,0.230013168,-5845.53282,Landolt 99; Barin 93; Arblaster 14
17,1.172418495,-5840.786049,0.29460881,-5845.794398,Landolt 99; Barin 93; Arblaster 14
18,1.393974911,-5839.503824,0.367838439,-5846.124916,Landolt 99; Barin 93; Arblaster 14
19,1.627039473,-5837.994264,0.449399387,-5846.532852,Landolt 99; Barin 93; Arblaster 14
20,1.871352981,-5836.245996,0.539020247,-5847.026401,Landolt 99; Barin 93; Arblaster 14
