T (K),Cp (J/mol K),Ht-H298.15 (J/mol),St (J/mol K),Gt-H298 (J/mol K)
5.000,0.026,-5844.954,0.016,-5845.033
10.000,0.165,-5844.560,0.065,-5845.214
15.000,0.658,-5842.703,0.209,-5845.843
20.000,1.699,-5837.056,0.527,-5847.600
25.000,3.234,-5824.890,1.064,-5851.475
30.000,5.053,-5804.250,1.811,-5858.590
35.000,6.965,-5774.210,2.734,-5876.885
40.000,8.833,-5734.700,3.787,-5886.160
45.000,10.573,-5686.100,4.929,-5907.910
50.000,12.157,-5629.200,6.126,-5935.550
60.000,14.827,-5493.800,8.587,-6009.040
70.000,16.829,-5335.000,11.031,-6107.220
80.000,18.399,-5158.800,13.383,-6229.400
90.000,19.658,-4968.100,15.627,-6374.560
100.000,20.577,-4767.000,17.748,-6541.500
110.000,21.329,-4557.000,19.745,-6729.070
120.000,21.955,-4341.000,21.629,-6936.040
130.000,22.474,-4118.000,23.407,-7161.250
140.000,22.906,-3891.000,25.089,-7403.900
150.000,23.265,-3661.000,26.682,-7662.850
160.000,23.566,-3426.000,28.194,-7937.160
170.000,23.821,-3189.000,29.630,-8226.360
180.000,24.041,-2950.000,30.998,-8529.520
190.000,24.236,-2709.000,32.303,-8846.240
200.000,24.412,-2465.000,33.551,-9175.400
210.000,24.576,-2220.000,34.746,-9517.060
220.000,24.732,-1974.000,35.893,-9870.120
230.000,24.882,-1726.000,36.995,-10234.780
240.000,25.026,-1476.000,38.058,-10609.960
250.000,25.163,-1225.000,39.082,-10995.750
260.000,25.291,-973.000,40.071,-11391.580
270.000,25.405,-720.000,41.028,-11797.150
280.000,25.499,-465.000,41.954,-12211.920
290.000,25.604,-209.000,42.850,-12635.930
298.150,25.690,0.000,43.561,-12988.078
300.000,25.707,47.500,43.720,-13068.300
400.000,26.548,2661.000,51.233,-17832.000
500.000,27.315,5355.000,57.241,-23265.500
600.000,28.051,8123.000,62.286,-29248.200
700.000,28.774,10965.000,66.665,-35700.700
800.000,29.490,13878.000,70.554,-42564.800
900.000,30.201,16862.000,74.068,-49798.800
1000.000,30.909,19918.000,77.287,-57369.000
1100.000,31.616,23044.000,80.266,-65248.700
1200.000,32.321,26241.000,83.047,-73416.000
1300.000,33.026,29508.000,85.662,-81851.900
1400.000,33.730,32846.000,88.135,-90543.600
1500.000,34.433,36254.000,90.486,-99475.500
1600.000,35.136,39733.000,92.731,-108636.800
1700.000,35.839,43282.000,94.882,-118019.100
1800.000,36.542,46901.000,96.951,-127611.000
1900.000,37.245,50590.000,98.945,-137406.100
2000.000,37.947,54350.000,100.874,-147398.000
2016.000,38.059,54958.000,101.176,-149014.656
2016.000,37.152,59998.000,103.676,-149014.656
2100.000,37.152,63119.000,105.193,-157787.700
2200.000,37.152,66834.000,106.921,-168392.400
2300.000,37.152,70549.000,108.573,-179167.700
2400.000,37.152,74264.000,110.154,-190106.400
2500.000,37.152,77979.000,111.671,-201197.500
2502.000,37.152,78054.000,111.700,-201421.008
2502.000,36.259,97939.000,119.648,-201421.008
2600.000,36.259,101492.000,121.041,-213215.600
2700.000,36.259,105118.000,122.410,-225387.900
2800.000,36.259,108744.000,123.728,-237694.800
2900.000,36.259,112370.000,125.001,-250130.800
3000.000,36.259,115996.000,126.230,-262695.000
3100.000,36.259,119622.000,127.419,-275376.100
3200.000,36.259,123248.000,128.570,-288176.000
3300.000,36.259,126874.000,129.686,-301088.700
3400.000,36.259,130499.000,130.768,-314112.400
3500.000,36.259,134125.000,131.819,-327243.000
3600.000,36.259,137751.000,132.841,-340473.600
3700.000,36.259,141377.000,133.834,-353808.800
3800.000,36.259,145003.000,134.801,-367239.600
3900.000,36.259,148629.000,135.743,-380768.700
4000.000,36.259,152255.000,136.661,-394388.000
4100.000,36.259,155881.000,137.556,-408101.700
4200.000,36.259,159507.000,138.430,-421898.400
4300.000,36.259,163133.000,139.283,-435783.500
4400.000,36.259,166758.000,140.117,-449754.800
4500.000,36.259,170384.000,140.932,-463806.000
4600.000,36.259,174010.000,141.729,-477940.000
4700.000,36.259,177636.000,142.508,-492151.100
4800.000,36.259,181262.000,143.272,-506443.200
4900.000,36.259,184888.000,144.019,-520806.300
